stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,31,3,0,3,0,0,0,0,1,0,0,0,2,0,0,0,26,5,0,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,25.08,0,0,25.93,0,0.28,0,0,0,0,0,0,2.82,0,0.28,0.28,3.1,3.66,0,0,0,2.54,3.1,0,0,0,3.95,0,0.28,0.28,0,0,0,0,0,0.28
21Day,1.85,12.95,0.74,0,56.98,0,18.87,0,0,1.11,0,0.37,0,16.65,0,0.37,0.37,11.1,4.07,0,0.74,0,4.07,0,0,0.37,0,5.92,1.48,0,0.74,0,0.74,0.74,0,0,0.37
3Month,0.42,17.99,2.39,0.1,0,1.77,1.14,1.56,0.62,4.37,0.1,2.29,1.25,3.95,1.35,0.1,0.42,8.63,8.63,5.41,1.66,0.1,0.31,0,0.21,0.1,0,0.1,0.42,24.13,0.1,0,0,0.1,7.59,21.84,3.64
22Month,0.68,12.85,0.14,0,0,1.64,0.41,0.55,0,3.69,0.68,3.69,0.41,3.96,0.41,0.14,0,3.01,2.87,0.41,0.27,0,0.14,0.14,0.14,0.27,0.14,0,0,1.23,0,0.14,0,0,1.09,0,0.96
