stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0,0,0,0,0,0,0.28,0,1.69,0,29.88,7.05,0,0.56,0,0,0,0,0.28,0
21Day,0.37,0,0.74,1.48,0,0,0,0.74,0,1.11,0,3.33,0,23.68,4.07,0,1.11,0.37,0,0,0.37,0,0.37
3Month,0,0,0.52,0,0,0.62,0.1,0,0,0.1,0.1,0.21,0,1.56,0,0.21,0.21,0,0.1,0.1,0.1,0,0.1
22Month,0,0.27,0,0,0.14,2.6,0.14,0,0.41,0,0.27,0.14,0.41,0.55,0,0,0,0,0,0,0.14,0,0.14
