stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,9.58,0.56,0.56,0,0.28,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,2.59,0,0.37,0,0,0.37,0.37,0,0
3Month,0,0.31,0.21,0.1,0.52,0.42,0,0.52,1.14,0,0.1,0.1,0,0.42,0,2.18,0.21,0,0.1,4.37,1.14,0.1
22Month,0,0.27,0.27,0.14,2.32,0,0,0.27,0,0.14,0.27,0.27,0.14,0.41,0,2.32,0,0.14,0,5.6,0,0
