stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,1.97,0.28,1.13,0,0,0,0,0,0,0,1.13,1.97,0.56,1.41,0,0,190.53,7.89,0.28,0,4.23,0,0,1.13,49.89,62.85,0.28,0,0,0
21Day,1.48,0,0.74,8.88,0.37,4.44,1.11,0,0.74,1.11,0.37,1.11,1.11,0.37,3.7,0.37,8.14,0,0.37,35.15,3.7,0,0.37,8.14,1.48,0,0.74,83.99,298.95,0,0,0,0.74
3Month,0,0,0,0.1,0,0,0,0,0,0.21,0.21,0,0,0,0.21,0.21,0,0,0.1,0.62,0,0.1,0.21,0,0,0.21,0,1.56,0.31,0,0.1,0.31,0
22Month,0.14,0,0,0.68,0,0,0,0.14,0.41,2.6,0.14,0,0.14,0,0,0,0.41,0.41,0,0,0,0,0,0,0,0.55,0.14,34.44,0.14,0,0,0,0
