stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,2.96,0.37,0.37,0,0,0,0,0,0
3Month,0.21,0.21,2.7,0.1,0.21,0.52,1.14,0.21,0.21,3.22,0.1,0.94,0.62,0.42,0.1,0.42,0.21,0.1,0.52,0.62
22Month,0,0,0.14,0,0,0,1.78,0,0,0,0.27,0,0.82,0,0,0,0,0,0,0.14
