stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,30,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.56,0.28,0,0,0.28,0,0,0,0.28,0,0.28,0.28,0.28,0.85,0,0,9.3,6.76,0,0,0,0.85,0,1.41,0.28,0.28,0.56,0,0,0
21Day,1.11,0,0,3.33,0,0,0,0,0,0.37,0.74,1.11,0.74,0.37,0.37,2.96,3.33,1.11,0,5.92,4.44,0,0,0,3.33,0,0.74,0.37,0.74,0,0,0,1.11
3Month,0.1,0.52,0.31,4.16,0,0.1,0.21,1.77,0,1.35,3.33,0.21,0.42,0.31,1.87,3.12,1.46,0.73,0.1,0.21,0.1,0.1,0.1,0,0.31,1.35,0.1,0.1,0,0,1.14,0.1,3.33
22Month,0,0.55,0,1.37,0.14,0.14,0,1.64,0.55,2.73,1.09,0.96,0,0,0,2.05,0.96,0.27,0,0.41,0,0.14,0.27,0.14,0,0.41,0.14,0.27,0,0,0,0,0
