stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.56,0,0,0,0,0,3.1,0.28,1.13,0.28,0,7.89,2.54,0.28,1.41,0,0,0.28,0,0.28,0,0,0
21Day,1.85,0,0,1.85,0,0.37,0,0.37,0,0,0.37,0,1.48,0.37,0,1.11,1.85,0,0.37,0.74,0,0,0.37,0,0,0,0.37
3Month,0,0,0.1,0.52,0,0,0.31,2.18,0.31,0.62,0,0,0.21,0.1,0.1,0,0,0,0,0.31,0.21,0,0,0,0.31,0.31,0
22Month,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
