stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0.28,0,0,0,0.28,0,0,0,0.85,0.28,0,0,0,0.56,0,2.25,2.25,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0.37,0.37,0,0,0,1.85,0,0,0.74,0,0,0,0.37,0,0,0.74,1.85,1.11,0.37,0.37,0,0,0.37,0,0,1.85,0,0,0
3Month,0.1,0.1,1.14,1.98,0.21,0,0.62,0.83,109.22,1.35,0,25.07,0.31,0.62,0.52,0.52,0.21,0.31,0.62,46.39,0.94,0,0.21,0.31,0,1.46,0.52,0.1,0,0.31,0.1,0.83
22Month,0.14,0.55,1.09,1.09,0,0.14,0.14,0.96,131.59,0.14,0.14,12.98,0.27,0.14,0.55,1.37,0,3.28,0,2.6,0.55,0,0,0.41,0.14,0,0.14,0.14,0,0,0,0.41
