stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,1,0,0,0,0,0,0,1,0
72hpf,0,0.28,0.28,0,0,0,0.28,3.38,3.38
21Day,0,0,0.37,0,0,0.37,0,1.11,0.37
22Month,0,0,0,0.55,0.14,0,0,0,0
