stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.97,41.43,0.56,0,0,0,0,0,0,0,0,0,3.66,5.64,0,3.66,0,0,0,4.51,22.27,9.3,0.28,0.28,1.97,0.28,0,0.28,0.28,0,0.28,0,0
21Day,0.37,0,1.48,2.59,12.58,0.37,0,0,0,0,0,0.37,0,0.37,0.74,3.7,4.81,0.74,0.37,0,0,0,1.48,5.55,5.18,0.37,0,1.85,0.74,0.37,0.37,0.37,0.74,0,0,0
3Month,0.1,0.21,0.1,10.51,3.85,0,0.1,0.1,0.42,0.73,0,5.2,2.6,0,1.77,64.18,2.7,0.73,1.35,0.31,0,0.42,5.72,26.42,0.31,1.25,0.21,0.21,1.35,10.82,0.21,0,0,0,2.81,1.14
22Month,0,0,0,4.1,1.91,0,0.14,0,0.41,0.68,0.14,10.25,0.27,0.41,0.41,9.43,2.19,0.41,0.27,0,0.41,0,0.55,10.8,0,0.41,0.14,0,0.14,4.24,0.14,0.14,0,0,0,0.27
