stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0.85,0.56,0
21Day,0.37,0.37,0,0,0,0,0.37,0.74,0,0
3Month,0.42,0,0.1,0.1,0.1,0.21,0,0,0,0.1
22Month,0,0,0,0,0.41,0,0,0,0,0
