stage,Cardiomyocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,1,0,0,1,0,0
72hpf,0,0,0,0,0,0,0.28,1.13,0.56,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0.37,0.37
3Month,0.1,0.1,0,0,0.1,0,0,0,0,0,0
22Month,0,0,0.27,0,0,0,0.14,0,0,0,0
