stage,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,1,0
72hpf,0.28,0.56,0.28,1.13,0,0
21Day,0,0,0,1.48,0,0.37
