stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,10,1,0,26,0,0,1,0,0,1,0,2,0,0,0,0,1,8,13,6,0,0,0,1,2,21,1,0,3,0,0,0,0,0,0,0,0,0
72hpf,44.25,0.28,0,9.3,4.51,0,0,0,0,0.56,0,0,0,0,0.28,0,1.97,37.77,0.85,2.54,0,0,0.28,0,11.84,6.2,0,0,11.56,0.28,0.56,0.56,0.28,0,0.28,0,0,0
21Day,25.9,2.59,1.11,43.29,3.7,0,1.48,0,0,1.11,0,0,0.74,0,2.22,3.33,0.37,33.67,1.48,8.88,0,0,0,0,8.88,4.07,0.74,0,5.92,1.11,2.22,0.74,0,0.74,0.37,0,0,0
3Month,3.02,1.77,1.04,81.13,0,0.62,0.21,0.21,20.28,2.18,0,0,7.07,5.3,0.31,26.42,5.3,19.56,2.08,14.25,3.95,0.1,0.94,1.25,1.35,0,0.42,0.1,0,2.39,31.31,0.1,0,0,0.21,0.73,2.29,1.77
22Month,0.14,1.91,0.96,28.15,0,0.14,0.14,0,10.8,3.55,0.96,0,43.86,0.96,0.41,23.37,1.91,3.14,1.37,8.75,0.41,1.09,0.41,0,0.96,0,0.55,0.27,0,2.32,20.36,0.14,0.27,0,0,0,0,1.78
