stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,2,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0.74,0.74,0,0.37,0,0,0,0.74,0,0,0.37,5.92,0,0,0,0,0.37,0.37,0,0.37,0,0,1.11
3Month,0.1,0.42,0,0.1,0.1,4.16,1.14,7.59,0.31,0.42,0.1,0.1,8.95,0.31,0.21,0.1,0.1,0.21,0,0.1,0.42,1.25,0.42,1.77
22Month,0.14,0,0,0.14,0.14,6.7,0.68,5.19,0.14,0.14,0,0,6.97,0.41,0,0,0,0,0.14,0,0,0,0,0.27
