stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0
3Month,0.1,0.1,0.1,0.1,0.1,0,5.72,0.21,0,0,0.31,0.1,0.62,0.42,0,0.1,0.21,0.21,0,0.1,0.1,0.1,0.42,0.21,0.1,0.1
22Month,0,0.41,0,0.27,0.41,0.14,6.15,0,0.41,0.14,0,0.82,0.82,0,0.14,0,0,0,0,0.14,0,0,0,0.14,0,0
