stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0,2.82,0.85,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0.74,0.37,0,0.37,0,1.48,0,0,0,0.37,4.81,0.37,0,1.48,10.73,0.37,0,0,0.37,0,0.37,0,0,0,0,0,0,0,3.7,0,0,0,0,0.74
3Month,0.1,0.73,0.21,15.91,0.21,0.94,2.08,20.08,0,0,8.53,49.3,1.46,1.66,0.21,4.37,39.84,2.39,0.73,0.1,1.25,0.94,0.21,0.21,0.21,0.21,0,0.31,3.02,0.1,239.86,0.42,0,1.66,37.45,4.68
22Month,0.14,0.55,0.96,4.78,0.41,1.23,1.09,22.68,0.68,0,10.8,16.53,2.87,6.97,0,0.96,22.82,1.91,0,0.41,0.55,0,0,0.14,0.27,0.27,16.67,0.14,0.55,0,57.53,0,0.14,0,0,1.64
