stage,Epithelial_cell,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
24hpf,0,0,0,0,1,0
72hpf,0,0,0,0,0.28,0
3Month,0.1,0,0,0.1,0,0.1
22Month,0,0.27,0.55,0,0,0
