stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,2.25,0,0,0,0,0,0,0,0,0,0.85,1.69,0,0.56,0,0,0,0,2.25,1.13,0,0,0.28,0,0,0.28,0.28,0,0,0
21Day,0,0,0,4.07,13.32,0,6.66,0,0,0,0,0,1.11,0,0,1.48,1.11,2.22,0,0,0,0,1.11,2.22,0,0,1.48,0.37,0,0.37,0,0,0,0.74
3Month,0,0.21,0.1,3.43,0,0.31,0.21,0.31,0.62,0.1,6.35,0.62,0.21,1.46,0.52,0.94,1.14,0.62,0.52,0,0.1,0.21,0,0,0.21,0,0.1,0.42,1.46,0,0,0.42,0.31,0.94
22Month,0,0.14,0,0.41,0,0.14,0.27,0,1.09,0.27,4.92,0.14,0.41,1.5,0,0.14,1.78,0.82,0.14,0.27,0.14,0,0.27,0,0.14,0.14,0.14,0,0.14,0.14,0,0.14,0,0.27
