stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,2,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,2.54,0,0.28,0,0
21Day,0,0.37,0.37,0,0,0,0.37,0,0.37,7.77,0,0,1.11,0.37
3Month,0,0,0.31,0,0.62,0,0,0.1,0.1,0,0,0,0,0
22Month,0.14,0,0,0.14,0.82,0.27,0,0.14,0.14,0,0,0,0,0
