stage,Epithelial_cell,Epithelial_cell__Brain_,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,1,0,0
72hpf,0.28,0.28,0,0,0.56,0.28,0.56
21Day,0.37,0,0,0,0.37,0,0.37
3Month,0,0,0.21,0.1,0,0,0
