stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,2.25,0.28,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0.37,0,0.37,0,1.11,0,1.48,0,0,0.37,0.37,0,0.37,0.37,0,0
3Month,0,0.62,0.21,0.1,0.73,0.1,0,0.21,0.31,0,0.1,1.87,0.1,0.73,0,0.42,0.1,0.1,2.6,0,0,0,1.98
22Month,0,0.27,0,0,1.5,0.14,0.14,0,0,0,0.14,0.41,0,0.27,0,0.14,0,0,0,0.14,0,0.27,0
