stage,Endothelial_cell,Erythrocyte__Liver_,Granulosa_cell,Immune_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,1,0,0,0,2,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,1.69,0,0,0,0.28
21Day,0,0,0,0,0,0.37,0,0.37,5.18,0.74,0,0,0
22Month,0.27,0.14,0.14,0.14,0.14,0,0.14,0,0.68,0,1.09,0.14,0.14
