stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.85,0.28,0,0,0,0,0,0,1.13,3.1,0,0,0,0.85,0.56,0,0,0,0,0
21Day,0,11.1,1.11,0.37,0,0,0,0,0,0.74,18.13,0.37,0,0,1.11,0.37,0.74,0,0.37,0,0
3Month,0,6.03,0.1,0,0.73,0.21,0,0.62,0.62,0.21,0.83,0.31,0.31,0.31,0,0,0,0,0,0.73,0.52
22Month,0.14,2.73,0,0,1.09,0.14,0.27,2.05,0.55,0.27,0.27,0.14,0,0,0,0,0.27,0.14,0,0,0
