stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.31,0.1,0.1,0,2.7,0.1,0.21,0.1,1.35,0.73,0.1,0.1,0,0,0.1,7.28,0,0.31,12.07,0.1
22Month,0.14,0,0.41,0,0,0.14,1.5,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0.14,0
