stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,350,11,0,1468,6,3,0,2,0,0,0,0,4,2,0,0,0,52,24,18,381,1,1,14,42,2670,6,0,0,10,0,0,0,0,0,42,0,0,0
72hpf,170.8,12.97,0,619.22,66.8,19.17,0,1.13,0,0,0.28,0,0,0.85,0,0.56,0.28,100.9,512.4,8.46,178.97,9.58,5.36,11.84,1111.89,476.61,6.2,2.25,0,62.29,0.28,0.28,38.9,2.25,1.13,32.69,0,0,0
21Day,180.55,4.81,3.7,753.29,28.49,34.04,0,8.88,0,0.37,0.37,3.33,0,5.92,0.74,12.21,8.14,27.38,233.46,29.97,133.57,1.48,19.61,6.66,557.94,205.34,6.66,2.22,0,38.11,36.26,0,28.49,4.44,14.06,14.8,0.37,0,7.4
3Month,1.66,6.45,0.1,53.46,0.42,0,0.31,0,0,2.39,1.35,0.31,0,2.18,0.62,0.1,1.25,1.87,26.11,13.42,3.33,0.1,1.25,17.16,2.5,1.25,1.46,0.83,0,0.21,0.31,1.66,0.31,0.1,0,1.25,8.63,0.42,0.94
22Month,0.14,8.34,1.23,50.15,0.14,0,0.27,0,0.14,4.78,1.09,43.86,0,7.52,0.96,0.14,1.23,0.55,7.65,7.24,2.87,0.55,1.23,1.5,0.68,0.41,2.32,0.68,0.27,0,0,0.27,0,0.14,0,0.68,2.05,0,0.27
