stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,0,1.69,0,0,0,0,0.28,7.61,0,0,0,0,0,0,0,0,0
21Day,0,3.33,0,0,0,0,0,2.59,0,0,0.37,0,0,0,0,0,0
3Month,0.1,11.65,0.1,1.14,0.1,0.62,0.31,9.15,0,0.1,0,0.1,0.1,0.21,0.83,0.1,0.31
22Month,0,1.09,0.41,0.82,0,0.14,0,1.91,0.55,0.14,0,0.41,0,0,0.27,0,0
