stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0.73,0.1,0.1,0,6.35,0.1,0.21,0.42,0,0,0.21,0,0,0,0,0.42,0,0.1,2.08,0,0.1,0.21
22Month,1.09,0.27,0,0.14,26.1,0,0.41,0.14,0.14,0.14,0.14,0.27,0.14,0,0,0,0.14,0,0.96,0.14,0,0.27
