stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell
72hpf,0,0,0,0,0.56
3Month,0.31,0,0,0,0
22Month,0.82,0.14,0.14,0.14,0
