stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0.28,0,0,1.13,0,2.82,0,0,0,54.68,2.25,0.28,0,0,1.41,0,0,0.56,0.28,0.28,0,0,0
21Day,0.74,2.22,0.74,0,0,0,0,0,0,0,0,1.11,0,1.11,0,0,0,13.69,1.11,0.37,1.11,0,1.48,1.48,0,0,0,0,0,0,0
3Month,0,1.98,0,0.1,0.21,1.14,1.87,0.42,0,0.42,0.21,0.94,0.62,0.94,0.73,0.52,0.1,0.52,0,0,0.21,0,0.1,0,1.35,0.21,0,0,0.1,1.66,0.83
22Month,0,0.27,0,0,0.14,0.14,1.64,0.14,0,0.27,0,0,0.14,0.55,0.14,0,0,0.27,0,0.55,0,0.68,0,0,0.27,0.14,0,0,0,0,0
