stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,2.82,0,0.56,0.28,0,0,11.84,3.95,0,0,0.28,0,0,0.28,0,0.28,0.56,0,0
21Day,0.37,0.74,0,0,0,3.33,0,0,0,0.37,0,0,0,0.37,0.74,0.37,0.37,1.11,1.11,0,0,0,4.07,0.74,0,0.37,0.37,0.74,0,0.37,0.37,0.74,0,0,0
3Month,0,0.42,0.1,3.33,0,0,0.1,0,0.62,1.56,0,4.16,0.31,0,1.87,0.62,0.94,1.35,1.04,0,0.21,0.42,0.21,0,0.21,0,0,0.21,1.14,0.1,0,0,0.1,0.62,1.04
22Month,0,0.27,0.14,0.27,0,0,0.14,0.27,0.27,1.91,0.27,5.33,0.41,0,1.23,0.14,0.14,0.82,0.96,0,0,0,0.14,0,0.14,0.41,0,0,0.55,0,0,0,0,0,0.14
