stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,16,0,0,0,0,0,2,0,83,0,0,0,0,5,19,58,6,0,0,0,0,10,27,0,0,0,1,0,0,0,0,0,0,3,0,0,0
72hpf,0.28,0.28,0,3.1,0,0.28,0,0,0,1.13,0,0,0,0,0.56,0,2.25,30.72,1.97,1.41,0,0,0,0,3.66,0.85,0,0,0,1.13,0,0,0,0,0.28,0,0.85,0,0,0
21Day,0.74,0,0.37,31.45,0,2.96,0,0,0.37,0.37,0,0,0.37,0.37,0,2.96,0,47.36,2.59,1.48,0,0,0,0,2.22,0.74,0.37,0,0,1.11,0.74,0,0,0,1.11,0.37,1.11,0,0,0.37
3Month,0.31,1.14,3.64,53.98,0.1,0,1.35,0,21.12,64.18,0,0,228.53,120.76,0.21,94.14,1.66,8.01,19.87,3.02,0.83,0.31,5.51,1.46,0.1,0,1.25,0.42,0,0,3.22,0.52,1.56,0.1,0,0,0,3.95,1.87,1.87
22Month,0.14,1.78,4.51,15.85,0,0,0.96,0.14,23.64,102.35,0.55,0,355.97,32.39,0.55,168.35,0.68,2.73,44.41,3.69,0,4.51,3.14,0,0.27,0,2.46,0.82,0.41,0.14,0.68,0,0.82,0.27,0.27,0,0,0.14,0,1.09
