stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,22.27,0,0.56,0.28,0,0,1.13,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0
3Month,0.1,0.21,0,1.04,0.1,0,0.73,0.1,0.52,0.52,59.08,0.73,0.1,2.18,0.42,0.73,0.21,0.42,0.1,0.31,0.83,0.1,0,0.21,0.1,0.62,0.42,0,0.21
22Month,0.14,0,0.14,0,0,0,0.27,0,0.41,0.41,33.89,0,0.14,0.55,0,0.55,0.14,0.27,0.68,0,0.14,0,0,0,0,0.14,0,0,0
