stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.69,0,4.51,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0.85,6.76,0.28,1.69,0,0.28,0,0,1.97,1.41,0,0,0,8.74,0,0,0.28,0.28,0,0,0
21Day,0.37,0,0,14.06,0,0.37,0,0,0,0,0,0,0.74,0,0,0,1.85,7.03,0.74,3.33,0,0,0.74,0,0.74,0.37,0,0,0,5.92,1.48,0.37,0,0,0,0,0
3Month,0.21,8.53,0.1,29.85,0.42,0,0.21,0.1,0.1,0.94,0,0,9.47,0.62,0,0.94,1.14,8.32,4.99,12.69,3.95,0.21,1.46,0.31,0.1,0,1.35,0,0,5.51,0.52,3.54,0,0.1,1.66,1.04,0.52
22Month,0,7.79,0.14,5.33,0.14,0,0.14,0.14,0.27,0.55,0.27,0,20.5,0.27,0.14,0.55,0.82,1.37,1.78,8.75,0,0.55,0.96,0,0.14,0.14,0.82,0.14,0.14,1.64,0,1.09,0,0.14,0.41,0,0.27
