stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,1.85,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0.21,0,0,0.1,0,0,0,0.1,0,0,0
22Month,0.14,1.91,0.27,0.14,0,1.64,0.82,0.14,0,0.27,0.14,0.82,0.55,0.27,0.14,0.14
