stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,19.17,1.69,0.28,0,0,0.28,5.64,11.27,0,0
21Day,0.74,0.37,6.29,0.37,5.92,0,1.11,0,0,0,0.37,0,2.22,0.74,0.37,2.96,1.11,5.55,0.37,1.11,83.99,2.22,2.22,1.48,0,1.48,32.56,156.13,0,0.74
3Month,0,0,0.52,0,0,0,0,0.1,0,0,0.31,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.83,0,0,0.1,0.62,0.31,0.21,0.21,0.52,0.21
22Month,0,0,0.27,0,0,0.14,0,0,0.41,0.14,2.6,0.14,0,0.55,0,0,0.55,0.27,0,0,1.5,0,0,0,0.41,0.68,0.55,0,0,0
