stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,7,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,2.82,0,0,0,0,0,0,1.13,0,0,0,1.13,0,0.28,0,0,0,0,0.28,0,0
21Day,0,1.48,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,1.25,0.1,0.1,0,0.31,0.1,0,0,0.1,1.25,0.1,0,0,0.1,0,0,0.21,1.25,0,0.21,0.21
22Month,0.14,0.55,0,0.14,0,1.91,0,0.14,0,0,0.14,0,0,0,0.14,3.28,0.14,0,4.92,0,0,0
