stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,9.3,0.85,0,0.28,0,0,0,0,0,0
21Day,0,2.96,1.48,0,0,0,0,0.74,0,1.11,0,0.37,20.35,0,0.74,0.37,0.37,0,0,0.37,0.37,0
3Month,0,0.31,0,0,0.1,0,0.42,0,0.1,0.21,0.21,0.31,0.52,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0.14,0,0.14,0.41,0,0.41,0.68,0.14,0.14,0,0,0.14,0,0,0.68,0.41,0,0,0.14
