stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,0,0,1,0,0,0,0,0,0,1,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0.37,1.11,0,0.37,0
3Month,0,0,0.21,0,0.1,0.1,0.1,0,0,0,0,0,0.31
22Month,0,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0
