stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,1,1,0,0,0,0,0,0,2,22,0,0,0,0,0
72hpf,0.28,0.56,0.56,0,0,0.28,1.13,0,16.35,3.66,0,0.28,0,0,0.28
21Day,0.37,0.37,0.37,0,0.37,0,1.11,0.37,7.77,1.85,0,0.37,0.74,0,0
3Month,0,0,0,0.1,0,0,0.31,0,0.1,0,0.31,0,0,1.04,0
