stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,3.7,0,0,0.37,0.37,0,0,0,0
3Month,0.1,0.52,0.21,3.85,0.42,0.42,0.1,0.21,0.31,23.82,0.73,0.1,0,0.1,0.31,0.42,0.1,0.21
22Month,0,0.14,0,10.8,1.23,0.68,0,0.14,0,31.84,0.55,0,0,0,0,0.68,0,0
