stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,2,0,0,0,0,6,0,0
72hpf,0.28,0,0,0,0,0.28,0,0.28,2.82,0.85,0.56,1.97
21Day,0,0,0,0,0,0.37,0,0,1.48,1.48,0,0
22Month,0,0.14,0.41,0.14,0,0,0.14,0,0.14,0,0,0
