stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Osteoblast
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0.1,1.25,0.31,3.22,0.1,0,0,0.42,0.1,0.1
22Month,0,0.14,0,0.14,0.68,0.55,0,0.14,0.14,0,0,0
