stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,0,2,0,0,1,0,0,0
72hpf,0,0,0,0,0,0.28,2.54,1.41,0.56,0,0
21Day,0,1.11,0,0,0,0,1.11,0,0.37,0,0
3Month,0,0.1,0.31,0,0,0,0,0,0,0.21,0.1
22Month,0,0.14,3.01,0.27,0,0.27,0,0,0,0.27,0
