stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,1,0,2,2,0,1,3,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0.85,0,0,0,0,0.28,0
21Day,0,2.22,0.37,0,0,0,0.37,0.74,1.11,0.37,0.74,0.37,0,0.37,0,0.37,0.37,0,0,0
3Month,0,0,0,0.1,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.1,0,0.1
22Month,0,0,0,0,0.14,0.41,0.55,0,0,0,0,0,0.14,0,0,0,0,0,0,0
