stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,4,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.13,0,3.95,0,50.17,0,0.28,0,0,0,0,0,0,0,0,1.13,39.46,0,5.64,0,0,0,0,34.1,2.54,0,0,4.23,0,0,0.56,0.56,0,0.28,0,0,0
21Day,1.11,0.74,1.11,11.84,0.37,25.9,0,0.37,0,0,0,0,0,0,0.37,12.58,0.37,8.51,0.37,8.51,0,0,1.85,0,8.14,0.74,0,0,2.96,1.85,0,2.22,0,0,0,0,0,0
3Month,0,4.78,2.29,78.74,0,0,0.83,0.1,0.21,11.75,2.08,0.1,10.61,2.5,0.21,52.74,3.02,27.04,3.12,31.93,3.43,0.1,3.33,0.94,3.12,0.1,1.66,0.62,1.56,2.08,0.1,42.33,0.21,0,0,6.87,5.72,1.77
22Month,0,5.47,1.5,12.03,0,0,0.55,0,0,6.7,2.32,0.41,10.8,1.5,0.68,40.45,0.55,2.87,2.87,13.8,0,0.55,1.91,0,1.64,0.27,0.68,0.27,0.68,0.41,0,10.93,0.41,0.14,0.14,0.41,0,1.5
