stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,36.36,0.56,0,0,0,0,0,0,0,0,0,0,2.54,0.56,1.13,1.69,0,0,0,0,5.36,2.25,0,0,7.89,0,0,0.28,0,0,0.28,0,0,0
21Day,0.74,0,0,169.08,4.44,0,0.74,0,0,0,0,0.74,0,0,0.37,15.17,5.55,1.11,32.56,0,0,0.37,0,7.77,3.7,0.37,0,4.44,4.07,0.37,0,0.37,1.11,0.37,2.96,0,0
3Month,0.42,1.56,1.04,150.93,0,0.73,0.21,0.1,2.08,3.64,0,11.96,4.78,0.52,6.55,20.49,15.29,3.22,65.63,0.62,0,1.14,0.83,0.62,0.1,1.98,0.52,10.19,4.26,8.22,0.1,0,0,0,132.21,3.64,2.29
22Month,0,1.23,0,46.46,0,0.27,0,0,0.82,1.23,0.68,16.53,0.96,0.14,1.5,2.73,1.91,1.5,15.85,0,0.82,0.68,0.14,0.27,0.27,1.78,0.14,9.02,0,6.7,0.14,0.14,0,0,21.73,0,0.82
