stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.11,1.11,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.52,0.31,12.59,0.31,0,0.21,0.83,1.98,8.01,2.5,0.31,2.91,1.14,1.56,1.98,0.83,0.31,0,9.26,0.52,0.42,0,0.52,0.21,0,0.1,1.35,31.73,0.1,0.21,1.04,274.19,1.77
22Month,0,0,0,2.19,0,0.14,0,0,0,2.05,0.14,0,0.27,0,0.14,0,0.41,0,0.14,2.32,0,0.27,0,0.14,0,0.55,0,0.14,4.51,0,0,0,1.5,0
