stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia
24hpf,0,0,0,0,0,0,2,0,0
72hpf,0,0,0,0,0,0.85,0.56,0,0
21Day,0,0,0,0,0,0.37,0,0,0.37
3Month,0.21,0.1,0.1,0.1,0,0.94,0,0.1,0
22Month,0.14,0.55,0,0,0.14,0,0,0,0
