stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,3,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0.56,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,1.69,0,0,0,0,47.07,1.69,1.69,0,1.41,0.28,0,0.28,16.07,20.29,4.51,0,0,0
21Day,0.37,0,0.37,2.96,1.85,0,0.37,0,0.74,0,0,0.74,0,1.48,0.74,0,2.22,0.37,0.37,0,0,0.37,0,3.7,0,0,0.37,0.37,0.74,1.48,0,27.75,121.73,0,0,0,0.37
3Month,0.1,0.21,0.21,3.74,0,0.21,0,0.83,0.62,0,0,11.55,0.94,0.21,2.08,0.21,1.46,1.56,1.04,0.1,0.1,0.1,1.04,0.31,0,0.83,0.1,0,1.25,119.2,0.21,0,0,0.1,0.62,137.09,0.73
22Month,0,0.14,0.27,1.23,0,0.14,0,0,1.37,0.27,0,15.58,0.41,0.14,0.82,0,0.27,0.82,0.41,0,0.41,0,0,0.27,0,0,0.27,0,0,18.45,0.27,0.27,0,0,0.14,0.68,0.27
