stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.56,0.28,0.56,0,0,0,0,0,0,0,0.28,6.2,0.28,1.41,0,0,0,38.61,1.69,0,1.69,0,0,0.28,0.28,0,0,0
21Day,0.74,0,0,8.88,0,1.11,0.37,0,0,0,1.11,0,0.37,0,5.55,0.37,5.92,0,0,0.37,20.72,1.48,0,1.11,0.37,1.11,2.59,1.11,0,0,0
3Month,0,0.21,0.1,3.74,0,0,0.1,0,0.1,0,1.56,0.1,0.31,0,0.62,0.21,1.46,0,0,0,0.31,0.1,0.31,0.1,0,2.6,0.42,0.52,0,0.52,0.31
22Month,0,0.41,0.14,1.09,0,0,0,0.14,0.96,15.85,6.97,0,1.09,0,0.14,0.68,0.55,0.14,0.14,0.14,0.68,0,0,0,0,5.6,0.41,0.41,0.41,0,0.41
