stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,3.33,0,0,0,0,0,0,0,0.37,0,0,2.96,0,0,0,0.37,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0,0.94,31.1,0.21,0.21,11.65,0.62,0,3.95,0.83,0,14.87,1.14,3.02,2.6,0.83,0.1,2.18,1.56,0.42,0.1,0.94,0,0.73,2.08,0.73,1.46,2.81
22Month,0.27,0.27,0.68,0.14,0,0,0.41,0.27,3.01,0.14,0,0.96,0,0.27,0.27,0.27,0,0.41,0.14,0,0,0,0,0,0,0,0,0.14
