stage,Cardiomyocyte,Endothelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0.28,0.28,0,0,0,0,0,0,0.28,2.82,0.28,2.54,0.56,0,0,8.74,0,0,0
21Day,0,0,0,0,0,0,0,0,0,4.07,0.74,1.11,0.37,0.37,0.37,2.96,0,0.74,0
3Month,0,0,0.1,0,0.1,0,0,0.1,0,0.21,0,0.1,0,0,0,0,0.31,0,0.1
22Month,0,0,0,0.14,0,0.14,1.37,0,0,0.14,0,0,0,0,0.14,0,0.27,0,0
