stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.49,1.41,0,0,0,0.85,0,0,0.28,0.28,0.28,0,0,0
21Day,0,0.37,1.11,1.11,0,0,0,0,0,0,0,0.74,12.21,0,0.37,1.48,1.48,0,0,0,0,10.36,1.11,0.74,0,0,0.37,0.37,1.11,0,0,0,0,0,0
3Month,2.39,3.74,10.82,0,0.42,6.14,1.25,0,0,43.38,1.14,0,101,0.83,1.66,11.44,1.77,0.42,0.21,0.73,8.63,0.31,0.1,3.54,0.1,0,0,2.08,7.28,0,0,0,0,1.66,4.68
22Month,3.96,3.28,8.06,0,0.96,4.1,0.68,0.41,0,49.06,0.27,0.55,105.9,0.41,1.64,12.71,0.68,0,3.01,0.41,0.27,0.27,0,0.96,0.27,0.27,0.41,0.55,9.02,0.14,0.14,0,0.41,0,2.87
