stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0
3Month,0.42,0.1,0.83,0.21,0.1,0.52,0.62,0.21,0.1,0.1,0.21,0,0.1,0.31,10.3,0.1,14.87,0.1
22Month,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0.41,0,0,0
