stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0,0.37,0,0,0,0,0,0.37
3Month,0.21,0.21,0.42,1.77,0.31,0.1,0.42,0.42,103.29,2.08,0.1,1.35,0.31,0.1,8.32,0.94,0.1,0.52,0.42,0.21,0.21,0.1,0.1,1.14,0.42,0.1,0.42
22Month,0,0.27,0,0.41,0.14,0,0,0.27,105.9,2.19,0,0.68,0,0,8.34,0.55,0.14,8.34,0.14,0,0,0,0,0.14,0,0,0.14
