stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0
3Month,0.1,0.31,0,0.42,0.1,0,0.21,0.1,0.42,1.66,3.74,0.21
22Month,0,0,0.14,0.55,0,0.14,0,0,0,0,0,0.14
