stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.38,0.56,0.28,0,0,0,0,0,0,0,0,1.97,17.19,0,0.56,0,0.56,0,0.28,4.79,2.25,0.28,0,0,0.56,0,0,1.41,0,0.85,0,0,0,0
21Day,1.48,0,0.37,23.31,0.37,0.37,0,0,0,0,0.37,0,0.37,1.48,0.37,8.88,1.48,1.85,0,0.37,1.85,0,1.11,1.48,0,0.37,0,0.37,0.37,0.37,1.11,1.11,2.59,0,0,0,0.37
3Month,0,0.21,0.62,19.45,0,0,2.81,0.31,0,0,12.9,0.73,0,7.28,0.83,5.93,0.73,0.94,0.1,0,8.22,1.14,0,0,0.21,0,0,0,0.31,3.33,0,0,0,0.1,0.42,3.33,0.31
22Month,0.14,0.27,0.68,5.74,0.14,0,0.68,1.09,0.68,0,33.07,0.27,0,8.34,0.14,2.19,0.82,1.09,0,1.5,3.01,0.14,0.14,0.27,0.27,0,0.14,0,0.27,0.82,0,0,0,0,0,0,0.96
