stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0.74,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0,0.52,0.1,0,0,0,0,0.31,0,0,0.42,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.21,0,0,0.1,0.1
22Month,0.41,0.14,0.55,0.14,0.14,0.55,0.96,240.09,17.22,0.27,0.14,3.83,0.14,0.41,1.37,1.09,0.14,0.14,0.27,0,0.14,0.14,0.27,0.14,0.14,0,0.14,0.27,0,0.68
