stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,35,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,4.79,1.13,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,5.07,0,0,0,1.69,0.85,0,0,1.41,0,0,0,0,0
21Day,17.39,0,0,1.11,0,0.37,0,0,0,0,0,0,0.37,0,0,0.74,0.37,3.7,0,0.74,0,0.74,0,0,0,0.37,0,0,0.37,0,0
3Month,0.83,2.18,0.42,3.64,0.1,0,0.1,0,0,0.42,9.26,0.52,0,0.31,0,3.12,0.21,1.77,0.1,1.46,0,0,0.1,0,0.1,0.1,0,0.21,0,0.1,0.21
22Month,0.14,1.78,0.14,0.68,0,0,0,0.14,0.14,0.27,3.55,0.14,0,0.14,0.14,0.41,0.68,1.23,0,0.41,0.14,0,0,0.14,0,0,0.14,0.27,0.14,0,0.14
