stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,1.13,0.85,0,0.28,0,0.28,0,0,0.56,0.28,0,0,0,0
21Day,0,0,1.11,0.37,0,0,0,0,0,0,0.37,0.37,0.74,0,0,0.74,0.37,0,0,0,0,0,1.11,0.74,0,0,0,1.48,0.74,0,1.85,0.74,0,0,0,23.31
3Month,0.83,0.1,5.1,0,0.1,0,0.52,2.08,0,0,3.33,10.51,0,1.04,0.21,1.46,2.39,1.25,1.14,0,0.31,0.52,0.31,0.1,0.52,0.1,0,0,0.52,0.1,24.76,0.42,0,0.21,12.48,28.19
22Month,1.23,0,1.37,0,0.14,0.27,0.14,1.91,0.27,0,7.38,12.57,0.68,0.41,0,0,3.55,1.09,0,0.27,0.41,0,0.27,0,0,0.41,1.09,0,0.14,0,8.75,1.78,0.14,0,0,42.09
