stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,111,0,0,15,1,0,0,0,0,0,0,0,0,0,0,2,1,9,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,58.34,0.28,0,0.85,0.28,0.56,0.28,0,0,0,0,0,0,0,0,1.97,0,3.1,0.28,0,0,122.32,3.38,0,0,10.99,0,0.28,0.85,19.45,13.53,0,0,0,0
21Day,41.81,0.37,0,2.59,0,1.85,0.37,0,0,0,0,0.37,0.74,0,0,1.85,0.37,4.07,0,0,0,15.17,2.96,0,0,8.88,1.11,0,0,34.41,46.25,0,0,0,0
3Month,0.1,0.1,0,1.35,0,0,0,0.21,0.52,0.21,4.99,0.31,0.21,1.46,6.45,0.94,0.42,1.35,0,0.21,0.42,0.21,0,0.21,0,0.1,0,5.1,0,0.21,0.1,0,0.1,3.02,0.31
22Month,0,0.14,0.14,1.23,0,0,0.14,0,1.64,0.55,15.71,0.68,0.14,1.23,0.27,0.27,0.55,0.96,0.68,0,0,0,0,0,0.27,0.41,0.27,3.96,0.14,9.98,0,0.14,0,0,0.68
