stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,1.69,0.28,0,0,4.51,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,3.33,2.22,0,0,0,0,0,0,0.37,0.37,0,1.48,0.37,22.2,0.37,0,0.74,2.59,0.74,0,0,35.15,0.37,0,0.37,0.37,0.37,0,0,0,0
3Month,0,0.31,0.21,3.12,0,0.31,0.62,0.31,3.74,7.8,1.25,0,1.46,0.42,0.83,1.25,77.7,20.6,0.21,0.31,0.1,0.1,0.21,0.21,0.94,0.42,0.1,8.01,0,0,0,3.54,1.98,0.52
22Month,0,0.41,0,0.27,0,0.27,0.14,0,0.27,5.47,0.41,0,0.41,0,0,0,17.49,1.09,0.27,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0
