stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,27,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0.85,0,1.41,0,6.48,4.51,0,0,0.56,0.28,0,0.28,0,0,0,0
21Day,1.11,0,1.85,2.22,0.74,0,0,0,0,0,0.74,0,0.37,0.74,0,0.74,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0.21,0,0,0,0.21,0,1.35,0.1,0.1,0.21,0.21,0.1,0,0.21,0,0,0,0,0,0,0.1,4.37,0.1,0,0,0.94,0.21
22Month,0,0.41,0.41,0,0,0.14,0.14,0.41,6.97,0,0.14,0.41,0,0,0.41,0.27,0.14,0,0,0,0.27,0,0.14,0.96,0.14,0.14,0.14,0,0.14
